reference	status	path	evolution_object	official_object
2026.2 beta1	modified	.github/workflows/add-new-language.yml	a22ea4814966fb31617bfdd108edaf39400c0bd9	9133d9c222561f3ff30350a114b84c0a124f7d7f
2026.2 beta1	modified	.github/workflows/clearCaches.yml	039c28961eb0b36441547ca67aed3de2d26aedfd	a391d793cd868a02b87ba730ac8afeae9dd39433
2026.2 beta1	modified	.github/workflows/fetch-crowdin-translations.yml	13a3d8e48ab5b54deebc2c298e66f5dfc098dd2a	43806c73c99fcf2a7b65e0aeba414a66a92d4fb3
2026.2 beta1	modified	.github/workflows/monitor-localisation-file-changes.yml	7584668c57cf30b131d3e3fe84139e18d68bd394	254c2527338f48a3ff0c6362c12fca1ccdd3cae2
2026.2 beta1	modified	.github/workflows/testAndPublish.yml	05ff1807cfc292da383908c643c7810d9c83bd47	7bfd47a9fb31b58b9cb4aab09865c92e4dd64bb9
2026.2 beta1	modified	.pre-commit-config.yaml	fdfe0118fb26a92fa7efb85688b1d0b227a4a3e7	19a482f33ea765fc214ae93348a40b6644f4f098
2026.2 beta1	modified	.python-versions	05c2197512e8084559661bdda4b0426de8f9e0b0	c799318b8e175472df83757d8e95702f365a780a
2026.2 beta1	modified	ci/README.md	09f6b2e873bbe63862faa1b37044fb24e99cea72	a10b3ee896a4e7b99010563d895452285ac70df3
2026.2 beta1	modified	ci/scripts/checkAndCommitTranslations.ps1	141324a1aa77a65bdac08ad21c6398362c9747ae	972b1d131d89338bb7be7c8a05520cc0bf6de057
2026.2 beta1	modified	ci/scripts/setBuildVersionVars.ps1	c6452b84902b14d0347cccfafd7588349085f13d	f4e3fead863b8380fd0e6bb73848ef42878805ef
2026.2 beta1	modified	ensureuv.ps1	83be5c94d6ba80e4cad8a15bb40c303c7d31ca52	57c492f1c6de9b08bc09493e3f0bc3344d75cab2
2026.2 beta1	modified	include/liblouis	2e775aca674cd2910e272eed7736acceb4c2e4a2	2aa5f84b14de17bcfe8317862d11f6bd7d640e55
2026.2 beta1	modified	nvdaHelper/liblouis/sconscript	0f882ffc956fe3602e88520c9623010016a8e4e9	c98d4900e66f7c319816777bd6061a81dab6db65
2026.2 beta1	modified	projectDocs/dev/createDevEnvironment.md	419f226fd3b6ebf332146fed850209804793645f	0535a329c11adb148a4ada832fd8ca7adc55cb5a
2026.2 beta1	modified	projectDocs/dev/developerGuide/developerGuide.md	f6c5f96c98de86ca36c21bf3b33d45ded4fc7316	5024f63cfc51b120f60ea6c8db2f1bd3e5e0acd4
2026.2 beta1	only-evolution	projectDocs/dev/futureRcValidation.md	96f4b06ddcc925049e3fa9dae07565de936349a9	-
2026.2 beta1	modified	pyproject.toml	fb590a6a8b8ad109a7981ca3becdede019036ba1	ee2a0f39bfb2255fb7aa8ced64d291b15f357cbd
2026.2 beta1	modified	runtime-builders/synthDriverHost32/.python-version	1f155dedb475f21cdeb94e30fd2db8ec550d96a6	fe6f212a49359f24bd0799d377528f38f3bcab23
2026.2 beta1	modified	runtime-builders/synthDriverHost32/setup-runtime.py	2cee396cf30d90e81b64ae213e206d9b7d05929f	d74991bc57ec2d7ec912817dc190a8d08cc8a735
2026.2 beta1	modified	source/NVDAObjects/IAccessible/__init__.py	c7abfaf97861cd108b866dc507f79b150f5ec464	5e6e77d4ff7d74c93196b749007b78c86157cd76
2026.2 beta1	modified	source/NVDAObjects/UIA/__init__.py	6017dba29983278f75e11f253be99426ce24906b	dc46de15c96fbdaf0b175dc95f449a7c6caec6e5
2026.2 beta1	modified	source/NVDAObjects/UIA/winConsoleUIA.py	10c19afd2b7e78c1d615910a7b2215fdddefb4e4	dd4aec30cf2ddf4dac7dc974095ff02239088812
